n,t_ms,temp_C,pressure_hPa,altitude_m,max_altitude_m,descent_count,teensy_trigger,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,humidity_pct,sound_db,pitch_deg,roll_deg,heading_deg,t_s,dt_s,pitch_logged_deg,roll_logged_deg,pressure_ref_hpa,altitude_baro_m,altitude_logged_m,a_lin_ms2,altitude_fused_m,v_fused_ms,v_baro_ms,a_baro_ms2,pos_x_m,pos_y_m,pos_z_m,yaw_deg
98,59658,32.74,951.45,-0.63,0.12,0,0,-0.0299,-0.0853,0.9912,-0.24,0.24,-0.24,122,106,39,,,1.7215,-4.9186,318.5749,48.981,0.5,1.7215,-4.9186,951.34,-0.7980089040328231,-0.49,0.05760503348166282,-0.7980089040328231,0.1212393591458055,0.08866237399453025,-0.620638881571629,0.0,0.0,-0.7980089040328231,318.5749
99,60158,32.75,951.47,-0.76,0.12,0,0,-0.0304,-0.0845,0.9901,-0.18,0.12,-0.24,121,106,39,,,1.7523000000000002,-4.8781,318.3531,49.481,0.5,1.7523,-4.8781,951.34,-0.9753359155924279,-0.62,0.046165443093344416,-0.9753359155924279,0.03710571660845019,-0.17732701155960484,-0.1773247479890605,0.0,0.0,-0.9753359155924279,318.3531
100,60658,32.78,951.47,-0.78,0.12,0,0,-0.0294,-0.0847,0.9906,-0.24,0.18,-0.18,120,105,38,,,1.6938,-4.8871,318.384,49.981,0.5,1.6938,-4.8871,951.34,-0.9753359155924279,-0.64,0.052034046800600475,-0.9753359155924279,0.01252770200765687,-0.08866237399453025,0.118218762229918,0.0,0.0,-0.9753359155924279,318.384
101,61158,32.79,951.48,-0.86,0.12,0,0,-0.0299,-0.0847,0.9916,-0.18,0.18,-0.31,121,106,36,,,1.7209,-4.8822,318.3925,50.481,0.5,1.7209,-4.8822,951.34,-1.0639982895869582,-0.72,0.06134190572846453,-1.0639982895869582,0.00909635347136381,-0.059108249329686835,0.13791958377534552,0.0,0.0,-1.0639982895869582,318.3925
103,62158,32.81,951.48,-0.86,0.12,0,0,-0.0303,-0.0847,0.9911,-0.24,0.12,-0.24,122,108,37,,,1.7448,-4.8847,318.0958,51.481,1.0,1.7448,-4.8847,951.34,-1.0639982895869582,-0.72,0.05608522463921467,-1.0639982895869582,0.09169928988953326,0.11821700166848803,0.03940549955312456,0.0,0.0,-1.0639982895869582,318.0958
104,62658,32.82,951.46,-0.7,0.12,0,0,-0.0303,-0.0851,0.9908,-0.18,0.18,-0.24,123,105,35,,,1.7452,-4.9091,319.1348,51.981,0.5,1.7452,-4.9091,951.34,-0.8866727870842261,-0.5599999999999999,0.0532681521563131,-0.8866727870842261,0.07888891064512654,0.0,-0.2955425041712201,0.0,0.0,-0.8866727870842261,319.1348
105,63158,32.85,951.48,-0.84,0.12,0,0,-0.0306,-0.0845,0.9901,-0.18,0.12,-0.24,119,106,37,,,1.7638,-4.8781,317.914,52.481,0.5,1.7638,-4.8781,951.34,-1.0639982895869582,-0.7,0.04597821757111281,-1.0639982895869582,0.008810178786211278,-0.17732550250273205,0.4433194153259179,0.0,0.0,-1.0639982895869582,317.914
106,63658,32.85,951.48,-0.85,0.12,0,0,-0.0309,-0.0851,0.99,-0.31,0.12,-0.18,121,108,36,,,1.7812000000000001,-4.913,317.8812,52.981,0.5,1.7812,-4.913,951.34,-1.0639982895869582,-0.71,0.04488995178263237,-1.0639982895869582,0.16860990822699093,0.4433194153259179,0.44331488805686714,0.0,0.0,-1.0639982895869582,317.8812
107,64158,32.86,951.43,-0.47,0.12,0,0,-0.0306,-0.0831,0.9902,-0.18,0.18,-0.24,118,104,36,,,1.7638,-4.7972,318.2278,53.481,0.5,1.7638,-4.7972,951.34,-0.6206788742610403,-0.32999999999999996,0.046563948537864136,-0.6206788742610403,0.21659105018199368,0.2659893855541351,-0.7979764566573055,0.0,0.0,-0.6206788742610403,318.2278
108,64658,32.89,951.45,-0.63,0.12,0,0,-0.0308,-0.0841,0.9901,-0.24,0.18,-0.12,119,107,31,,,1.7754,-4.8551,317.7463,53.981,0.5,1.7754,-4.8551,951.34,-0.7980089040328231,-0.49,0.045677612168079085,-0.7980089040328231,0.04140089040022629,-0.35465704133138765,-0.2659893855541351,0.0,0.0,-0.7980089040328231,317.7463
109,65158,32.89,951.47,-0.74,0.12,0,0,-0.0304,-0.0841,0.9918,-0.24,0.18,-0.24,122,105,37,,,1.7494,-4.8468,318.8811,54.481,0.5,1.7494,-4.8468,951.34,-0.9753359155924279,-0.6,0.06266167408130748,-0.9753359155924279,0.048487818293920015,0.0,0.17733304786584192,0.0,0.0,-0.9753359155924279,318.8811
110,65658,32.91,951.45,-0.63,0.12,0,0,-0.0305,-0.0846,0.9912,-0.18,0.12,-0.18,121,106,37,,,1.7561,-4.8784,318.3841,54.981,0.5,1.7561,-4.8784,951.34,-0.7980089040328231,-0.49,0.05684704452705222,-0.7980089040328231,-0.007833770783551158,-0.17732399346554573,-0.17732701155960484,0.0,0.0,-0.7980089040328231,318.3841
111,66158,32.92,951.49,-0.91,0.12,0,0,-0.031,-0.0853,0.9913,-0.18,0.24,-0.24,121,106,35,,,1.7846,-4.9181,318.4154,55.481,0.5,1.7846,-4.9181,951.34,-1.1526599090579737,-0.77,0.057553661464374364,-1.1526599090579737,-0.04514696388744426,-0.17732701155960484,0.6206396360853006,0.0,0.0,-1.1526599090579737,318.4154
